League , Years ,Round , Home Team , Away Team , HomeScore , Away Score ,ALL Possession Ball possession Home ,ALL Possession Ball possession Away ,ALL Shots Total shots Home ,ALL Shots Total shots Away ,ALL Shots Shots on target Home ,ALL Shots Shots on target Away ,ALL Shots Shots off target Home ,ALL Shots Shots off target Away ,ALL Shots Blocked shots Home ,ALL Shots Blocked shots Away ,ALL TVData Corner kicks Home ,ALL TVData Corner kicks Away ,ALL TVData Offsides Home ,ALL TVData Offsides Away ,ALL TVData Fouls Home ,ALL TVData Fouls Away ,ALL TVData Yellow cards Home ,ALL TVData Yellow cards Away ,ALL TVData Red cards Home ,ALL TVData Red cards Away ,ALL Shots extra Hit woodwork Home ,ALL Shots extra Hit woodwork Away ,ALL Shots extra Counter attacks Home ,ALL Shots extra Counter attacks Away ,ALL Shots extra Shots inside box Home ,ALL Shots extra Shots inside box Away ,ALL Shots extra Shots outside box Home ,ALL Shots extra Shots outside box Away ,ALL Shots extra Goalkeeper saves Home ,ALL Shots extra Goalkeeper saves Away ,ALL Passes Passes Home ,ALL Passes Passes Away ,ALL Passes Accurate passes Home ,ALL Passes Accurate passes Away ,ALL Duels Duels won Home ,ALL Duels Duels won Away ,ALL Duels Aerials won Home ,ALL Duels Aerials won Away ,1ST Possession Ball possession Home ,1ST Possession Ball possession Away ,1ST Shots Total shots Home ,1ST Shots Total shots Away ,1ST Shots Shots on target Home ,1ST Shots Shots on target Away ,1ST Shots Shots off target Home ,1ST Shots Shots off target Away ,1ST Shots Blocked shots Home ,1ST Shots Blocked shots Away ,1ST TVData Corner kicks Home ,1ST TVData Corner kicks Away ,1ST TVData Offsides Home ,1ST TVData Offsides Away ,1ST TVData Yellow cards Home ,1ST TVData Yellow cards Away ,1ST TVData Red cards Home ,1ST TVData Red cards Away ,1ST Shots extra Hit woodwork Home ,1ST Shots extra Hit woodwork Away ,1ST Shots extra Counter attacks Home ,1ST Shots extra Counter attacks Away ,1ST Shots extra Shots inside box Home ,1ST Shots extra Shots inside box Away ,1ST Shots extra Shots outside box Home ,1ST Shots extra Shots outside box Away ,1ST Shots extra Goalkeeper saves Home ,1ST Shots extra Goalkeeper saves Away ,1ST Passes Passes Home ,1ST Passes Passes Away ,1ST Passes Accurate passes Home ,1ST Passes Accurate passes Away ,1ST Duels Duels won Home ,1ST Duels Duels won Away ,1ST Duels Aerials won Home ,1ST Duels Aerials won Away ,2ND Possession Ball possession Home ,2ND Possession Ball possession Away ,2ND Shots Total shots Home ,2ND Shots Total shots Away ,2ND Shots Shots on target Home ,2ND Shots Shots on target Away ,2ND Shots Shots off target Home ,2ND Shots Shots off target Away ,2ND Shots Blocked shots Home ,2ND Shots Blocked shots Away ,2ND TVData Corner kicks Home ,2ND TVData Corner kicks Away ,2ND TVData Offsides Home ,2ND TVData Offsides Away ,2ND TVData Yellow cards Home ,2ND TVData Yellow cards Away ,2ND TVData Red cards Home ,2ND TVData Red cards Away ,2ND Shots extra Hit woodwork Home ,2ND Shots extra Hit woodwork Away ,2ND Shots extra Counter attacks Home ,2ND Shots extra Counter attacks Away ,2ND Shots extra Shots inside box Home ,2ND Shots extra Shots inside box Away ,2ND Shots extra Shots outside box Home ,2ND Shots extra Shots outside box Away ,2ND Shots extra Goalkeeper saves Home ,2ND Shots extra Goalkeeper saves Away ,2ND Passes Passes Home ,2ND Passes Passes Away ,2ND Passes Accurate passes Home ,2ND Passes Accurate passes Away ,2ND Duels Duels won Home ,2ND Duels Duels won Away ,2ND Duels Aerials won Home ,2ND Duels Aerials won Away ,
LaLiga ,15/16 ,2 ,Villarreal ,Espanyol ,3 ,1 ,57% ,43% ,14 ,5 ,4 ,3 ,8 ,2 ,2 ,0 ,2 ,3 ,5 ,1 ,0 ,0 ,1 ,6 ,null ,null ,0 ,1 ,null ,null ,6 ,5 ,8 ,0 ,2 ,1 ,472 ,354 ,374 (79%) ,257 (73%) ,74 ,50 ,15 ,21 ,59% ,41% ,6 ,2 ,1 ,1 ,4 ,1 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,4 ,null ,null ,0 ,0 ,null ,null ,2 ,2 ,4 ,0 ,0 ,1 ,251 ,173 ,210 (84%) ,127 (73%) ,40 ,23 ,8 ,7 ,55% ,45% ,8 ,3 ,3 ,2 ,4 ,1 ,1 ,0 ,2 ,2 ,5 ,1 ,1 ,2 ,null ,null ,0 ,1 ,null ,null ,4 ,3 ,4 ,0 ,2 ,0 ,221 ,181 ,164 (74%) ,130 (72%) ,34 ,27 ,7 ,14 ,
LaLiga ,15/16 ,2 ,Real Sociedad ,Sporting Gijón ,0 ,0 ,60% ,40% ,12 ,7 ,1 ,2 ,9 ,3 ,2 ,2 ,6 ,4 ,2 ,2 ,0 ,0 ,3 ,5 ,null ,null ,null ,null ,null ,null ,7 ,2 ,5 ,5 ,2 ,1 ,505 ,339 ,415 (82%) ,242 (71%) ,49 ,51 ,12 ,20 ,69% ,31% ,4 ,4 ,1 ,1 ,3 ,2 ,0 ,1 ,2 ,0 ,0 ,2 ,0 ,2 ,null ,null ,null ,null ,null ,null ,3 ,1 ,1 ,3 ,1 ,1 ,309 ,138 ,263 (85%) ,95 (69%) ,22 ,19 ,5 ,4 ,49% ,51% ,8 ,3 ,0 ,1 ,6 ,1 ,2 ,1 ,4 ,4 ,2 ,0 ,3 ,3 ,null ,null ,null ,null ,null ,null ,4 ,1 ,4 ,2 ,1 ,0 ,196 ,201 ,152 (78%) ,147 (73%) ,27 ,32 ,7 ,16 ,
LaLiga ,15/16 ,2 ,Barcelona ,Málaga ,1 ,0 ,74% ,26% ,22 ,4 ,13 ,1 ,6 ,3 ,3 ,0 ,15 ,2 ,4 ,3 ,0 ,0 ,0 ,3 ,null ,null ,1 ,0 ,null ,null ,16 ,2 ,6 ,2 ,1 ,12 ,655 ,209 ,572 (87%) ,128 (61%) ,71 ,37 ,14 ,3 ,72% ,28% ,8 ,2 ,5 ,1 ,2 ,1 ,1 ,0 ,7 ,2 ,0 ,2 ,0 ,1 ,null ,null ,1 ,0 ,null ,null ,6 ,1 ,2 ,1 ,1 ,5 ,291 ,104 ,243 (84%) ,57 (55%) ,32 ,19 ,5 ,1 ,77% ,23% ,14 ,2 ,8 ,0 ,4 ,2 ,2 ,0 ,8 ,0 ,4 ,1 ,0 ,2 ,null ,null ,0 ,0 ,null ,null ,10 ,1 ,4 ,1 ,0 ,7 ,364 ,105 ,329 (90%) ,71 (68%) ,39 ,18 ,9 ,2 ,
LaLiga ,15/16 ,2 ,Celta Vigo ,Rayo Vallecano ,3 ,0 ,64% ,36% ,11 ,3 ,7 ,0 ,1 ,2 ,3 ,1 ,5 ,4 ,7 ,7 ,0 ,0 ,2 ,2 ,0 ,1 ,null ,null ,0 ,1 ,10 ,1 ,1 ,2 ,0 ,4 ,671 ,352 ,576 (86%) ,243 (69%) ,49 ,47 ,12 ,16 ,63% ,37% ,6 ,0 ,4 ,0 ,1 ,0 ,1 ,0 ,1 ,2 ,3 ,2 ,1 ,0 ,0 ,1 ,null ,null ,0 ,0 ,6 ,0 ,0 ,0 ,0 ,3 ,319 ,178 ,260 (82%) ,110 (62%) ,28 ,25 ,8 ,11 ,66% ,34% ,5 ,3 ,3 ,0 ,0 ,2 ,2 ,1 ,4 ,2 ,4 ,5 ,1 ,2 ,0 ,0 ,null ,null ,0 ,1 ,4 ,1 ,1 ,2 ,0 ,1 ,352 ,174 ,316 (90%) ,133 (76%) ,21 ,22 ,4 ,5 ,
LaLiga ,15/16 ,2 ,Real Madrid ,Real Betis ,5 ,0 ,69% ,31% ,21 ,7 ,11 ,1 ,6 ,3 ,4 ,3 ,11 ,4 ,3 ,0 ,0 ,0 ,3 ,3 ,null ,null ,1 ,0 ,0 ,2 ,11 ,3 ,10 ,4 ,1 ,5 ,630 ,286 ,571 (91%) ,220 (77%) ,45 ,33 ,9 ,2 ,66% ,34% ,9 ,3 ,5 ,0 ,3 ,2 ,1 ,1 ,4 ,3 ,3 ,0 ,1 ,2 ,null ,null ,0 ,0 ,0 ,0 ,5 ,2 ,4 ,1 ,0 ,3 ,304 ,157 ,278 (91%) ,123 (78%) ,24 ,18 ,6 ,0 ,72% ,28% ,12 ,4 ,6 ,1 ,3 ,1 ,3 ,2 ,7 ,1 ,0 ,0 ,2 ,1 ,null ,null ,1 ,0 ,0 ,2 ,6 ,1 ,6 ,3 ,1 ,2 ,326 ,129 ,293 (90%) ,97 (75%) ,21 ,15 ,3 ,2 ,
LaLiga ,15/16 ,2 ,Eibar ,Athletic Bilbao ,2 ,0 ,43% ,57% ,9 ,9 ,8 ,1 ,0 ,5 ,1 ,3 ,11 ,4 ,3 ,1 ,0 ,0 ,2 ,2 ,null ,null ,null ,null ,null ,null ,9 ,3 ,0 ,6 ,1 ,6 ,369 ,488 ,248 (67%) ,364 (75%) ,74 ,58 ,31 ,20 ,49% ,51% ,5 ,0 ,4 ,0 ,0 ,0 ,1 ,0 ,6 ,2 ,2 ,0 ,0 ,2 ,null ,null ,null ,null ,null ,null ,5 ,0 ,0 ,0 ,0 ,3 ,205 ,215 ,143 (70%) ,155 (72%) ,39 ,28 ,17 ,12 ,37% ,63% ,4 ,9 ,4 ,1 ,0 ,5 ,0 ,3 ,5 ,2 ,1 ,1 ,2 ,0 ,null ,null ,null ,null ,null ,null ,4 ,3 ,0 ,6 ,1 ,3 ,164 ,273 ,105 (64%) ,209 (77%) ,35 ,30 ,14 ,8 ,
LaLiga ,15/16 ,2 ,Sevilla ,Atlético Madrid ,0 ,3 ,62% ,38% ,25 ,17 ,7 ,7 ,6 ,7 ,12 ,3 ,11 ,1 ,null ,null ,0 ,0 ,3 ,4 ,null ,null ,0 ,1 ,0 ,1 ,16 ,5 ,9 ,12 ,4 ,7 ,482 ,304 ,395 (82%) ,231 (76%) ,55 ,72 ,19 ,23 ,62% ,38% ,6 ,8 ,5 ,3 ,1 ,3 ,0 ,2 ,2 ,1 ,null ,null ,2 ,2 ,null ,null ,0 ,0 ,0 ,0 ,5 ,2 ,1 ,6 ,2 ,5 ,260 ,157 ,216 (83%) ,117 (75%) ,31 ,44 ,14 ,12 ,62% ,38% ,19 ,9 ,2 ,4 ,5 ,4 ,12 ,1 ,9 ,0 ,null ,null ,1 ,2 ,null ,null ,0 ,1 ,0 ,1 ,11 ,3 ,8 ,6 ,2 ,2 ,222 ,147 ,179 (81%) ,114 (78%) ,24 ,28 ,5 ,11 ,
LaLiga ,15/16 ,2 ,Valencia ,Deportivo La Coruña ,1 ,1 ,53% ,47% ,12 ,12 ,6 ,3 ,3 ,6 ,3 ,3 ,5 ,7 ,4 ,1 ,0 ,0 ,5 ,1 ,1 ,0 ,null ,null ,null ,null ,6 ,8 ,6 ,4 ,2 ,5 ,399 ,357 ,303 (76%) ,265 (74%) ,58 ,43 ,25 ,12 ,52% ,48% ,2 ,8 ,1 ,1 ,0 ,5 ,1 ,2 ,2 ,4 ,1 ,1 ,1 ,0 ,0 ,0 ,null ,null ,null ,null ,1 ,6 ,1 ,2 ,0 ,0 ,210 ,194 ,161 (77%) ,150 (77%) ,28 ,20 ,13 ,6 ,55% ,45% ,10 ,4 ,5 ,2 ,3 ,1 ,2 ,1 ,3 ,3 ,3 ,0 ,4 ,1 ,1 ,0 ,null ,null ,null ,null ,5 ,2 ,5 ,2 ,2 ,5 ,189 ,163 ,142 (75%) ,115 (71%) ,30 ,23 ,12 ,6 ,
LaLiga ,15/16 ,2 ,Getafe ,Granada ,1 ,2 ,61% ,39% ,16 ,9 ,4 ,4 ,7 ,3 ,5 ,2 ,6 ,6 ,0 ,3 ,0 ,0 ,5 ,3 ,null ,null ,null ,null ,0 ,3 ,6 ,5 ,10 ,4 ,2 ,3 ,365 ,242 ,288 (79%) ,161 (67%) ,55 ,62 ,12 ,12 ,57% ,43% ,4 ,8 ,0 ,4 ,3 ,3 ,1 ,1 ,0 ,4 ,0 ,1 ,4 ,0 ,null ,null ,null ,null ,0 ,3 ,1 ,4 ,3 ,4 ,2 ,0 ,173 ,122 ,134 (77%) ,91 (75%) ,16 ,29 ,2 ,6 ,64% ,36% ,12 ,1 ,4 ,0 ,4 ,0 ,4 ,1 ,6 ,2 ,0 ,2 ,1 ,3 ,null ,null ,null ,null ,0 ,0 ,5 ,1 ,7 ,0 ,0 ,3 ,192 ,120 ,154 (80%) ,70 (58%) ,39 ,33 ,10 ,6 ,
LaLiga ,15/16 ,2 ,Las Palmas ,Levante ,0 ,0 ,65% ,35% ,16 ,3 ,2 ,2 ,10 ,1 ,4 ,0 ,3 ,0 ,4 ,2 ,0 ,0 ,2 ,4 ,null ,null ,null ,null ,null ,null ,6 ,2 ,10 ,1 ,2 ,2 ,552 ,290 ,435 (79%) ,173 (60%) ,78 ,67 ,31 ,19 ,62% ,38% ,6 ,3 ,0 ,2 ,4 ,1 ,2 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,null ,null ,null ,null ,null ,null ,2 ,2 ,4 ,1 ,2 ,0 ,297 ,173 ,228 (77%) ,111 (64%) ,38 ,32 ,15 ,7 ,69% ,31% ,10 ,0 ,2 ,0 ,6 ,0 ,2 ,0 ,3 ,0 ,3 ,1 ,2 ,4 ,null ,null ,null ,null ,null ,null ,4 ,0 ,6 ,0 ,0 ,2 ,255 ,117 ,207 (81%) ,62 (53%) ,40 ,35 ,16 ,12 ,
LaLiga ,15/16 ,3 ,Levante ,Sevilla ,1 ,1 ,54% ,46% ,14 ,8 ,4 ,3 ,7 ,3 ,3 ,2 ,5 ,4 ,1 ,2 ,0 ,0 ,3 ,3 ,null ,null ,null ,null ,null ,null ,5 ,5 ,9 ,3 ,2 ,3 ,404 ,346 ,313 (77%) ,257 (74%) ,45 ,62 ,18 ,29 ,53% ,47% ,1 ,3 ,1 ,2 ,0 ,1 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,2 ,null ,null ,null ,null ,null ,null ,0 ,2 ,1 ,1 ,1 ,1 ,233 ,208 ,176 (76%) ,162 (78%) ,24 ,30 ,10 ,17 ,54% ,46% ,13 ,5 ,3 ,1 ,7 ,2 ,3 ,2 ,3 ,3 ,1 ,2 ,3 ,1 ,null ,null ,null ,null ,null ,null ,5 ,3 ,8 ,2 ,1 ,2 ,171 ,138 ,137 (80%) ,95 (69%) ,21 ,32 ,8 ,12 ,
