League , Years ,Round , Home Team , Away Team , HomeScore , Away Score ,ALL Possession Ball possession Home ,ALL Possession Ball possession Away ,ALL Shots Total shots Home ,ALL Shots Total shots Away ,ALL Shots Shots on target Home ,ALL Shots Shots on target Away ,ALL Shots Shots off target Home ,ALL Shots Shots off target Away ,ALL Shots Blocked shots Home ,ALL Shots Blocked shots Away ,ALL TVData Corner kicks Home ,ALL TVData Corner kicks Away ,ALL TVData Offsides Home ,ALL TVData Offsides Away ,ALL TVData Fouls Home ,ALL TVData Fouls Away ,ALL TVData Yellow cards Home ,ALL TVData Yellow cards Away ,ALL TVData Red cards Home ,ALL TVData Red cards Away ,ALL Shots extra Hit woodwork Home ,ALL Shots extra Hit woodwork Away ,ALL Shots extra Counter attacks Home ,ALL Shots extra Counter attacks Away ,ALL Shots extra Shots inside box Home ,ALL Shots extra Shots inside box Away ,ALL Shots extra Shots outside box Home ,ALL Shots extra Shots outside box Away ,ALL Shots extra Goalkeeper saves Home ,ALL Shots extra Goalkeeper saves Away ,ALL Passes Passes Home ,ALL Passes Passes Away ,ALL Passes Accurate passes Home ,ALL Passes Accurate passes Away ,ALL Duels Duels won Home ,ALL Duels Duels won Away ,ALL Duels Aerials won Home ,ALL Duels Aerials won Away ,1ST Possession Ball possession Home ,1ST Possession Ball possession Away ,1ST Shots Total shots Home ,1ST Shots Total shots Away ,1ST Shots Shots on target Home ,1ST Shots Shots on target Away ,1ST Shots Shots off target Home ,1ST Shots Shots off target Away ,1ST Shots Blocked shots Home ,1ST Shots Blocked shots Away ,1ST TVData Corner kicks Home ,1ST TVData Corner kicks Away ,1ST TVData Offsides Home ,1ST TVData Offsides Away ,1ST TVData Yellow cards Home ,1ST TVData Yellow cards Away ,1ST TVData Red cards Home ,1ST TVData Red cards Away ,1ST Shots extra Hit woodwork Home ,1ST Shots extra Hit woodwork Away ,1ST Shots extra Counter attacks Home ,1ST Shots extra Counter attacks Away ,1ST Shots extra Shots inside box Home ,1ST Shots extra Shots inside box Away ,1ST Shots extra Shots outside box Home ,1ST Shots extra Shots outside box Away ,1ST Shots extra Goalkeeper saves Home ,1ST Shots extra Goalkeeper saves Away ,1ST Passes Passes Home ,1ST Passes Passes Away ,1ST Passes Accurate passes Home ,1ST Passes Accurate passes Away ,1ST Duels Duels won Home ,1ST Duels Duels won Away ,1ST Duels Aerials won Home ,1ST Duels Aerials won Away ,2ND Possession Ball possession Home ,2ND Possession Ball possession Away ,2ND Shots Total shots Home ,2ND Shots Total shots Away ,2ND Shots Shots on target Home ,2ND Shots Shots on target Away ,2ND Shots Shots off target Home ,2ND Shots Shots off target Away ,2ND Shots Blocked shots Home ,2ND Shots Blocked shots Away ,2ND TVData Corner kicks Home ,2ND TVData Corner kicks Away ,2ND TVData Offsides Home ,2ND TVData Offsides Away ,2ND TVData Yellow cards Home ,2ND TVData Yellow cards Away ,2ND TVData Red cards Home ,2ND TVData Red cards Away ,2ND Shots extra Hit woodwork Home ,2ND Shots extra Hit woodwork Away ,2ND Shots extra Counter attacks Home ,2ND Shots extra Counter attacks Away ,2ND Shots extra Shots inside box Home ,2ND Shots extra Shots inside box Away ,2ND Shots extra Shots outside box Home ,2ND Shots extra Shots outside box Away ,2ND Shots extra Goalkeeper saves Home ,2ND Shots extra Goalkeeper saves Away ,2ND Passes Passes Home ,2ND Passes Passes Away ,2ND Passes Accurate passes Home ,2ND Passes Accurate passes Away ,2ND Duels Duels won Home ,2ND Duels Duels won Away ,2ND Duels Aerials won Home ,2ND Duels Aerials won Away ,
Premier League ,15/16 ,2 ,Aston Villa ,Manchester United ,0 ,1 ,45% ,55% ,5 ,9 ,1 ,2 ,3 ,4 ,1 ,3 ,3 ,5 ,4 ,3 ,0 ,0 ,2 ,2 ,null ,null ,null ,null ,null ,null ,4 ,5 ,1 ,4 ,1 ,1 ,441 ,534 ,356 (81%) ,458 (86%) ,55 ,54 ,12 ,12 ,45% ,55% ,1 ,5 ,0 ,1 ,1 ,2 ,0 ,2 ,1 ,1 ,4 ,0 ,0 ,0 ,null ,null ,null ,null ,null ,null ,1 ,4 ,0 ,1 ,0 ,0 ,234 ,290 ,195 (83%) ,255 (88%) ,23 ,23 ,5 ,5 ,46% ,54% ,4 ,4 ,1 ,1 ,2 ,2 ,1 ,1 ,2 ,4 ,0 ,3 ,2 ,2 ,null ,null ,null ,null ,null ,null ,3 ,1 ,1 ,3 ,1 ,1 ,207 ,244 ,161 (78%) ,203 (83%) ,32 ,31 ,7 ,7 ,
Premier League ,15/16 ,2 ,Southampton ,Everton ,0 ,3 ,54% ,46% ,17 ,10 ,4 ,4 ,9 ,2 ,4 ,4 ,9 ,9 ,1 ,2 ,0 ,0 ,4 ,2 ,null ,null ,null ,null ,0 ,2 ,14 ,7 ,3 ,3 ,1 ,4 ,458 ,393 ,391 (85%) ,314 (80%) ,46 ,48 ,15 ,17 ,50% ,50% ,7 ,6 ,2 ,3 ,4 ,1 ,1 ,2 ,3 ,3 ,1 ,0 ,2 ,1 ,null ,null ,null ,null ,0 ,2 ,6 ,4 ,1 ,2 ,1 ,2 ,215 ,218 ,176 (82%) ,174 (80%) ,26 ,23 ,9 ,10 ,59% ,41% ,10 ,4 ,2 ,1 ,5 ,1 ,3 ,2 ,6 ,6 ,0 ,2 ,2 ,1 ,null ,null ,null ,null ,0 ,0 ,8 ,3 ,2 ,1 ,0 ,2 ,243 ,175 ,215 (88%) ,140 (80%) ,20 ,25 ,6 ,7 ,
Premier League ,15/16 ,2 ,Sunderland ,Norwich City ,1 ,3 ,43% ,57% ,6 ,18 ,2 ,6 ,3 ,4 ,1 ,8 ,6 ,6 ,2 ,1 ,0 ,0 ,1 ,2 ,null ,null ,null ,null ,null ,null ,3 ,9 ,3 ,9 ,3 ,1 ,386 ,490 ,267 (69%) ,388 (79%) ,52 ,55 ,9 ,18 ,47% ,53% ,3 ,10 ,0 ,5 ,2 ,3 ,1 ,2 ,2 ,3 ,1 ,1 ,1 ,1 ,null ,null ,null ,null ,null ,null ,1 ,4 ,2 ,6 ,3 ,0 ,195 ,212 ,124 (64%) ,160 (75%) ,24 ,31 ,7 ,12 ,41% ,59% ,3 ,8 ,2 ,1 ,1 ,1 ,0 ,6 ,4 ,3 ,1 ,0 ,0 ,1 ,null ,null ,null ,null ,null ,null ,2 ,5 ,1 ,3 ,0 ,1 ,191 ,278 ,143 (75%) ,228 (82%) ,28 ,24 ,2 ,6 ,
Premier League ,15/16 ,2 ,Swansea City ,Newcastle United ,2 ,0 ,65% ,35% ,19 ,4 ,6 ,2 ,6 ,2 ,7 ,0 ,4 ,4 ,3 ,1 ,0 ,0 ,2 ,3 ,0 ,1 ,2 ,0 ,null ,null ,7 ,1 ,12 ,3 ,2 ,4 ,635 ,333 ,586 (92%) ,261 (78%) ,42 ,43 ,8 ,6 ,58% ,42% ,9 ,4 ,3 ,2 ,3 ,2 ,3 ,0 ,3 ,3 ,2 ,1 ,0 ,2 ,0 ,1 ,1 ,0 ,null ,null ,2 ,1 ,7 ,3 ,2 ,2 ,270 ,198 ,240 (89%) ,160 (81%) ,22 ,15 ,3 ,3 ,73% ,27% ,10 ,0 ,3 ,0 ,3 ,0 ,4 ,0 ,1 ,1 ,1 ,0 ,2 ,1 ,0 ,0 ,1 ,0 ,null ,null ,5 ,0 ,5 ,0 ,0 ,2 ,365 ,135 ,346 (95%) ,101 (75%) ,20 ,28 ,5 ,3 ,
Premier League ,15/16 ,2 ,Tottenham ,Stoke City ,2 ,2 ,53% ,47% ,13 ,15 ,7 ,7 ,2 ,6 ,4 ,2 ,4 ,3 ,3 ,3 ,0 ,0 ,2 ,2 ,null ,null ,null ,null ,null ,null ,7 ,11 ,6 ,4 ,5 ,5 ,500 ,430 ,407 (81%) ,351 (82%) ,53 ,56 ,17 ,13 ,64% ,36% ,6 ,5 ,5 ,2 ,0 ,1 ,1 ,2 ,3 ,1 ,2 ,3 ,1 ,1 ,null ,null ,null ,null ,null ,null ,4 ,4 ,2 ,1 ,2 ,3 ,310 ,171 ,263 (85%) ,131 (77%) ,19 ,21 ,4 ,4 ,41% ,59% ,7 ,10 ,2 ,5 ,2 ,5 ,3 ,0 ,1 ,2 ,1 ,0 ,1 ,1 ,null ,null ,null ,null ,null ,null ,3 ,7 ,4 ,3 ,3 ,2 ,190 ,259 ,144 (76%) ,220 (85%) ,34 ,35 ,13 ,9 ,
Premier League ,15/16 ,2 ,Watford ,West Bromwich Albion ,0 ,0 ,63% ,37% ,16 ,6 ,5 ,0 ,8 ,5 ,3 ,1 ,2 ,4 ,null ,null ,0 ,0 ,1 ,2 ,null ,null ,null ,null ,1 ,1 ,7 ,4 ,9 ,2 ,0 ,5 ,498 ,285 ,418 (84%) ,194 (68%) ,52 ,64 ,18 ,26 ,61% ,39% ,8 ,3 ,3 ,0 ,4 ,2 ,1 ,1 ,2 ,2 ,null ,null ,0 ,1 ,null ,null ,null ,null ,1 ,0 ,5 ,2 ,3 ,1 ,0 ,3 ,240 ,155 ,201 (84%) ,112 (72%) ,22 ,30 ,7 ,10 ,66% ,34% ,8 ,3 ,2 ,0 ,4 ,3 ,2 ,0 ,0 ,2 ,null ,null ,1 ,1 ,null ,null ,null ,null ,0 ,1 ,2 ,2 ,6 ,1 ,0 ,2 ,258 ,130 ,217 (84%) ,82 (63%) ,30 ,34 ,11 ,16 ,
Premier League ,15/16 ,2 ,West Ham United ,Leicester City ,1 ,2 ,69% ,31% ,10 ,10 ,3 ,5 ,3 ,3 ,4 ,2 ,8 ,4 ,1 ,1 ,0 ,0 ,1 ,3 ,1 ,0 ,1 ,0 ,0 ,1 ,7 ,7 ,3 ,3 ,3 ,2 ,553 ,242 ,468 (85%) ,157 (65%) ,61 ,62 ,25 ,20 ,63% ,37% ,4 ,6 ,0 ,5 ,3 ,0 ,1 ,1 ,3 ,1 ,1 ,1 ,1 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,2 ,5 ,2 ,1 ,3 ,0 ,236 ,136 ,195 (83%) ,95 (70%) ,35 ,30 ,17 ,11 ,75% ,25% ,6 ,4 ,3 ,0 ,0 ,3 ,3 ,1 ,5 ,3 ,0 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,0 ,1 ,5 ,2 ,1 ,2 ,0 ,2 ,317 ,106 ,273 (86%) ,62 (58%) ,26 ,32 ,8 ,9 ,
Premier League ,15/16 ,2 ,Crystal Palace ,Arsenal ,1 ,2 ,40% ,60% ,11 ,20 ,4 ,7 ,4 ,6 ,3 ,7 ,6 ,6 ,3 ,2 ,0 ,0 ,1 ,1 ,null ,null ,1 ,0 ,0 ,2 ,6 ,17 ,5 ,4 ,5 ,3 ,376 ,564 ,302 (80%) ,478 (85%) ,54 ,66 ,15 ,19 ,32% ,68% ,4 ,14 ,2 ,5 ,0 ,4 ,2 ,5 ,3 ,1 ,1 ,0 ,1 ,1 ,null ,null ,0 ,0 ,0 ,2 ,0 ,10 ,4 ,4 ,3 ,1 ,158 ,339 ,123 (78%) ,303 (89%) ,26 ,31 ,5 ,8 ,49% ,51% ,7 ,6 ,2 ,2 ,4 ,2 ,1 ,2 ,3 ,5 ,2 ,2 ,0 ,0 ,null ,null ,1 ,0 ,0 ,0 ,6 ,7 ,1 ,0 ,2 ,2 ,218 ,225 ,179 (82%) ,175 (78%) ,28 ,35 ,10 ,11 ,
Premier League ,15/16 ,2 ,Manchester City ,Chelsea ,3 ,0 ,49% ,51% ,18 ,10 ,8 ,3 ,6 ,4 ,4 ,3 ,5 ,1 ,1 ,3 ,0 ,0 ,4 ,2 ,null ,null ,0 ,1 ,0 ,1 ,11 ,5 ,7 ,5 ,3 ,5 ,423 ,443 ,345 (82%) ,367 (83%) ,59 ,68 ,15 ,18 ,47% ,53% ,9 ,4 ,4 ,0 ,4 ,2 ,1 ,2 ,4 ,0 ,0 ,0 ,2 ,0 ,null ,null ,0 ,0 ,0 ,0 ,8 ,1 ,1 ,3 ,0 ,3 ,200 ,229 ,168 (84%) ,186 (81%) ,28 ,40 ,6 ,12 ,50% ,50% ,9 ,6 ,4 ,3 ,2 ,2 ,3 ,1 ,1 ,1 ,1 ,3 ,2 ,2 ,null ,null ,0 ,1 ,0 ,1 ,3 ,4 ,6 ,2 ,3 ,2 ,223 ,214 ,177 (79%) ,181 (85%) ,31 ,28 ,9 ,6 ,
Premier League ,15/16 ,2 ,Liverpool ,Bournemouth ,1 ,0 ,54% ,46% ,18 ,13 ,2 ,2 ,11 ,6 ,5 ,5 ,6 ,8 ,1 ,0 ,0 ,0 ,1 ,4 ,null ,null ,1 ,1 ,1 ,0 ,8 ,8 ,10 ,5 ,2 ,1 ,492 ,387 ,403 (82%) ,293 (76%) ,72 ,62 ,23 ,17 ,60% ,40% ,7 ,1 ,1 ,0 ,5 ,1 ,1 ,0 ,5 ,4 ,0 ,0 ,0 ,1 ,null ,null ,1 ,0 ,0 ,0 ,2 ,1 ,5 ,0 ,0 ,0 ,263 ,163 ,214 (81%) ,117 (72%) ,38 ,26 ,14 ,7 ,49% ,51% ,11 ,12 ,1 ,2 ,6 ,5 ,4 ,5 ,1 ,4 ,1 ,0 ,1 ,3 ,null ,null ,0 ,1 ,1 ,0 ,6 ,7 ,5 ,5 ,2 ,1 ,229 ,224 ,189 (83%) ,176 (79%) ,34 ,36 ,9 ,10 ,
Premier League ,15/16 ,3 ,Manchester United ,Newcastle United ,0 ,0 ,69% ,31% ,20 ,7 ,8 ,0 ,3 ,4 ,9 ,3 ,11 ,5 ,4 ,2 ,0 ,0 ,2 ,2 ,null ,null ,1 ,1 ,0 ,1 ,9 ,5 ,11 ,2 ,0 ,8 ,637 ,280 ,567 (89%) ,201 (72%) ,54 ,58 ,13 ,14 ,59% ,41% ,9 ,6 ,6 ,0 ,0 ,3 ,3 ,3 ,3 ,3 ,3 ,1 ,1 ,1 ,null ,null ,0 ,1 ,0 ,0 ,3 ,4 ,6 ,2 ,0 ,6 ,284 ,186 ,247 (87%) ,140 (75%) ,29 ,29 ,7 ,8 ,79% ,21% ,11 ,1 ,2 ,0 ,3 ,1 ,6 ,0 ,8 ,2 ,1 ,1 ,1 ,1 ,null ,null ,1 ,0 ,0 ,1 ,6 ,1 ,5 ,0 ,0 ,2 ,353 ,94 ,320 (91%) ,61 (65%) ,25 ,29 ,6 ,6 ,
